Mark,WIND,Competitor,Nat,Venue,Date,Speed
10.052857142857142,0.4,Emmanuel CALLENDER,TTO,"Letzigrund, ZÃ¼rich (SUI)",2009-08-28,35.81071479323575
10.054285714285713,2.0,David LIMA,POR,"Moratalaz, Madrid (ESP)",2017-07-14,35.80562659846548
10.055333333333333,1.7,Levi Asher CADOGAN,BAR,St. Michael (BAR),2015-06-20,35.801896174501096
10.056,1.3,Brandon CARNES,USA,"Iowa City, IA (USA)",2017-04-22,35.79952267303103
10.056666666666667,1.7,Roscoe ENGEL,RSA,Pretoria (RSA),2018-03-15,35.797149486244614
10.057333333333332,1.1,Sydney SIAME,ZAM,"x-bionic sphere, Å amorÃ­n (SVK)",2018-06-29,35.79477661407929
10.058,0.8,Bryand RINCHER,USA,"Austin, TX (USA)",2019-06-07,35.79240405647246
10.058666666666666,1.2,Simone COLLIO,ITA,Rieti (ITA),2009-07-21,35.790031813361615
10.059333333333333,2.0,Dwight PHILLIPS,USA,"Athens, GA (USA)",2009-05-09,35.78765988468421
10.06,0.8,Shaun Phatutshedzo MASWANGANYI,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",2020-03-14,35.785288270377734
10.060666666666666,1.7,Sam EFFAH,CAN,"Hollywood, FL (USA)",2010-07-09,35.782916970379695
10.061333333333334,1.7,Martial MBANDJOCK,FRA,Albi (FRA),2008-07-25,35.78054598462762
10.062,0.7,Tyrone EDGAR,GBR,GenÃ¨ve (SUI),2008-05-31,35.77817531305904
10.062666666666667,1.6,John CAPEL,USA,"Eugene, OR (USA)",2008-06-28,35.7758049556115
10.063333333333333,1.0,Bruno HORTELANO-ROIG,ESP,"Moratalaz, Madrid (ESP)",2016-06-23,35.7734349122226
10.064,1.0,Jason YOUNG,JAM,Luzern (SUI),2012-07-17,35.771065182829894
10.064666666666666,2.0,Dexter LEE,JAM,SÃ£o Paulo (BRA),2011-05-22,35.76869576737101
10.065333333333333,1.0,Martin KELLER,GER,Weinheim (GER),2013-08-02,35.766326665783545
10.065999999999999,1.8,Shuhei TADA,JPN,Fukui (JPN),2017-09-09,35.76395787800517
10.066666666666666,1.6,Wallace SPEARMON,USA,"Eugene, OR (USA)",2008-06-28,35.76158940397351
10.067333333333332,0.8,Kukyoung KIM,KOR,Jeongseon (KOR),2017-06-27,35.75922124362625
10.068,0.9,Michael CAMPBELL,JAM,Kingston (JAM),2017-06-23,35.75685339690108
10.068666666666665,1.9,Sheldon MITCHELL,JAM,San JosÃ© (CRC),2015-08-07,35.75448586373569
10.069333333333333,1.5,Lucas JAKUBCZYK,GER,"Clermont, FL (USA)",2014-05-10,35.7521186440678
10.07,0.0,Remontay MCCLAIN,USA,"Hayward Field, Eugene, OR (USA)",2015-06-26,35.749751737835155
10.070666666666666,-0.4,Marqueze WASHINGTON,USA,"Mesa, AZ (USA)",2017-06-10,35.74738514497551
10.071333333333333,1.9,McKinley WEST,USA,"Tampa, FL (USA)",2018-05-25,35.74501886542662
10.072,1.6,Vitor Hugo DOS SANTOS,BRA,"CNDA, BraganÃ§a Paulista (BRA)",2019-08-29,35.7426528991263
10.072666666666667,1.9,Masashi ERIGUCHI,JPN,Hiroshima (JPN),2009-06-28,35.740287246012315
10.073333333333332,1.6,Kenzo COTTON,USA,"Eugene, OR (USA)",2016-06-08,35.73792190602251
10.074,1.1,Amaury GOLITIN,FRA,Jesolo (ITA),2018-06-09,35.735556879094695
10.074666666666666,1.0,Julien DUNKLEY,JAM,"Provo, UT (USA)",2008-05-24,35.73319216516676
10.075357142857142,1.4,Harry AIKINES-ARYEETEY,GBR,"Blankers-Koen Stadion, Hengelo (NED)",2014-06-08,35.730743327071
10.076071428571428,1.9,Evander WELLS,USA,"Fayetteville, AR (USA)",2008-05-31,35.72821039946124
10.076785714285714,1.4,Deniz ALMAS,GER,"Sepp-Herberger-Stadion, Weinheim (GER)",2020-08-01,35.72567783094099
10.077499999999999,0.4,Everton CLARKE,JAM,Kingston (JAM),2016-07-01,35.72314562143389
10.078214285714285,1.8,Desmond LAWRENCE,USA,"Montverde, FL (USA)",2016-06-11,35.72061377086361
10.078928571428571,1.9,Shota IIZUKA,JPN,Tottori (JPN),2017-06-04,35.71808227915382
10.079642857142856,0.5,Javoy TUCKER,JAM,Barranquilla (COL),2018-07-29,35.71555114622826
10.080357142857142,0.3,Jorge VIDES,BRA,Sao Bernardo do Campo (BRA),2018-08-18,35.71302037201063
10.081071428571429,1.1,Jeremy HALL,USA,"Gainesville, FL (USA)",2009-05-17,35.7104899564247
10.081785714285713,1.7,Emre Zafer BARNES,TUR,"Stadion Juliska, Praha (CZE)",2018-06-04,35.70795989939425
10.0825,1.8,Mustaqeem WILLIAMS,USA,"Fayetteville, AR (USA)",2019-05-11,35.70543020084305
10.083214285714284,2.0,Rohan BROWNING,AUS,Brisbane (AUS),2019-03-23,35.70290086069494
10.08392857142857,0.9,Thando DLODLO,RSA,Trieste (ITA),2019-07-06,35.70037187887374
10.084642857142857,0.1,Alex WILSON,SUI,La Chaux-de-Fonds (SUI),2019-06-30,35.697843255303326
10.085384615384614,1.9,Darryl HARAWAY,USA,"Tampa, FL (USA)",2018-05-25,35.695217756082684
10.086153846153845,1.5,Raheem CHAMBERS,JAM,"Charlottesville, VA (USA)",2019-05-10,35.69249542403905
10.086923076923076,1.8,Naoki TSUKAHARA,JPN,Hiroshima (JPN),2009-06-27,35.689773507206596
10.087692307692306,1.3,Brendan CHRISTIAN,ANT,Nivelles (BEL),2009-06-27,35.68705200549032
10.088461538461537,-0.7,Alex QUIÃ‘Ã“NEZ,ECU,Cochabamba (BOL),2018-06-06,35.68433091879528
10.089230769230769,1.4,Aleixo Platini MENGA,GER,Weinheim (GER),2018-07-06,35.68161024702653
10.09,1.9,Pato BANGURA GIBRILLA,SLE,Loughborough (GBR),2009-07-29,35.678889990089196
10.09076923076923,1.6,Shawn CRAWFORD,USA,"Eugene, OR (USA)",2008-06-28,35.6761701478884
10.09153846153846,-0.1,Kei TAKASE,JPN,"Todoroki Stadium, Kawasaki (JPN)",2015-05-10,35.6734507203293
10.092307692307692,1.0,Keenan BROCK,USA,"Auburn, AL (USA)",2012-04-21,35.670731707317074
10.093076923076922,1.5,Justyn WARNER,CAN,"Olympic Stadium, London (GBR)",2012-08-04,35.66801310875696
10.093846153846153,0.9,Anthony SCHWARTZ,USA,"Albuquerque, NM (USA)",2018-06-02,35.66529492455419
10.094615384615384,1.8,Kenneth BEDNAREK,USA,"Montverde Academy, Montverde, FL (USA)",2020-08-10,35.66257715461404
10.095208333333332,1.9,Clarence MUNYAI,RSA,Pretoria (RSA),2018-02-24,35.66048248962999
10.095624999999998,0.4,Trae WILLIAMS,AUS,Gold Coast (AUS),2018-02-16,35.65901071008482
