Mark,WIND,Competitor,Nat,Venue,Date,Speed
11.649294871794872,1.9,Ngozi MUSA,SLE,"Austin, TX (USA)",2019-03-29,30.903157998998505
11.649423076923076,1.9,Moa HJELMER,SWE,Karlstad (SWE),2015-07-22,30.90281790118362
11.64955128205128,0.0,Paloma DIEZ,ESP,AlcalÃ¡ de HenÃ¡res (ESP),2015-07-18,30.902477810854386
11.649679487179487,1.9,Naomi VAN DEN BROECK,BEL,Eskilstuna (SWE),2015-07-16,30.90213772801057
11.649807692307691,0.1,Anastasiya NIKOLAYEVA,RUS,Sochi (RUS),2015-05-28,30.90179765265191
11.649935897435897,0.4,Di'Kerria WILSON,USA,"Greensboro, NC (USA)",2015-05-17,30.90145758477817
11.650064102564102,1.8,Paula SMITH,USA,"Hammond, LA (USA)",2015-05-10,30.901117524389107
11.650192307692308,0.1,Thandi VILAKAZI,RSA,Pretoria (RSA),2008-03-27,30.900777471484464
11.650320512820512,1.1,Casey TAYLOR,USA,"Champaign, IL (USA)",2008-05-17,30.900437426063995
11.650448717948718,1.9,Phillipa VAN DER MERWE,RSA,Germiston (RSA),2012-03-29,30.900097388127453
11.650576923076922,1.9,Madeline PRICE,CAN,"Raleigh, NC (USA)",2016-03-25,30.899757357674595
11.650705128205129,1.2,Alyssa WISE,USA,"Coral Gables, FL (USA)",2016-04-09,30.899417334705173
11.650833333333333,1.5,Starlynn SINGLETON,USA,"La Jolla, CA (USA)",2016-04-23,30.899077319218943
11.650961538461537,1.3,Shanice CAMERON,USA,"Bradenton, FL (USA)",2017-05-25,30.898737311215648
11.651089743589743,1.6,Sierra Jade SMITH,USA,"Houston, TX (USA)",2017-05-13,30.898397310695046
11.651217948717948,1.4,Marisa VAZ CARVALHO,POR,Lisboa (POR),2016-06-19,30.898057317656903
11.651346153846154,0.5,Sophie WEIÃŸENBERG,GER,MÃ¶nchengladbach (GER),2016-07-29,30.897717332100942
11.651474358974358,0.9,Pernilla NILSSON,SWE,Ystad (SWE),2016-07-24,30.89737735402695
11.651602564102564,0.9,Aliyah EVERSON,USA,"Lincoln, NE (USA)",2016-05-14,30.897037383434657
11.651730769230769,1.0,Ingvild MEINSETH,NOR,Mannheim (GER),2016-06-25,30.896697420323825
11.651858974358975,1.2,Maderley ALCAZAR,COL,San GermÃ¡n (PUR),2016-04-23,30.896357464694198
11.651987179487179,0.7,Gladys BAMANE,SWE,Sollentuna (SWE),2016-06-03,30.896017516545548
11.652115384615383,0.1,Tori WILLIAMS,USA,"Orlando, FL (USA)",2016-05-15,30.895677575877613
11.65224358974359,0.5,Irina BELOVA,RUS,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",2020-09-08,30.895337642690137
11.652371794871794,-0.7,Camella Florina GAL,ROU,"Cluj Arena, Cluj-Napoca (ROU)",2020-08-22,30.894997716982903
11.6525,1.6,Taelour MURPHY,USA,"Burlington, VT (USA)",2014-05-04,30.894657798755635
11.652628205128204,-0.3,Iman BROWN,USA,"Tempe, AZ (USA)",2019-04-06,30.894317888008096
11.65275641025641,0.9,Shana COX,GBR,"Greensboro, NC (USA)",2014-04-12,30.89397798474005
11.652884615384615,-0.1,Yanting CAI,CHN,"Shanxi Sports Center Stadium, Taiyuan (CHN)",2019-08-15,30.89363808895124
11.65301282051282,1.1,Le Ngoc PHUONG,VIE,Guangzhou (CHN),2010-11-22,30.893298200641407
11.653141025641025,0.7,Donna FRASER,GBR,Biberach (GER),2008-06-28,30.89295831981033
